query,name,description,types,id,status,word_count
Spread,Difference,,['Thing'],kg:/m/09xvqm,succeed,one word
Blackburn's,The Abandoned Room,Book by Wadsworth Camp,"['Thing', 'Book']",kg:/m/06ffs8d,succeed,one word
pumpkin,Pumpkin,Squash,['Thing'],kg:/m/05zsy,succeed,one word
Shortening,Shortening,Dairy product,['Thing'],kg:/m/0316bq,succeed,one word
Applesauce,Apple sauce,,['Thing'],kg:/m/0ckq2,succeed,one word
Jelly,Jelle Van Vucht,YouTuber,"['Thing', 'Person']",kg:/g/11fxdym0lk,succeed,one word
Manning's,Manning formula,,['Thing'],kg:/m/06y3kv,succeed,one word
Egg,Egg,Food,['Thing'],kg:/m/033cnk,succeed,one word
Marketside,Marketside,,"['Thing', 'Organization', 'Corporation']",kg:/m/04_1jy0,succeed,one word
Post,Mail,,['Thing'],kg:/m/0dh8s,succeed,one word
Bama,Barack Obama,44th U.S. President,"['Person', 'Thing']",kg:/m/02mjmr,succeed,one word
Phillips,Philips,Multinational conglomerate company,"['Thing', 'Corporation', 'Organization']",kg:/m/05w3y,succeed,one word
Bell,Bell Canada,Telecommunications company,"['Corporation', 'CableOrSatelliteProvider', 'Organization', 'Thing']",kg:/m/01lgnb,succeed,one word
Iberia,Iberia,Airline,"['Corporation', 'Organization', 'Thing', 'Airline']",kg:/m/0p87j,succeed,one word
Wrap,Wrap,Food,['Thing'],kg:/m/06x5sp,succeed,one word
Krusteaz,Krusteaz,,"['Brand', 'Thing']",kg:/m/0rf69c2,succeed,one word
Edamame,Edamame,,['Thing'],kg:/m/02wv6b8,succeed,one word
Lidia's,Lidia's Favorite Recipes,Book by Lidia Bastianich and Tanya Bastianich Manuali,"['Thing', 'Book']",kg:/m/0n9gw7d,succeed,one word
Stroehmann,"Stroehmann Bakeries, L.C.",Company,"['Thing', 'Corporation', 'Organization']",kg:/g/11b6gfmc7s,succeed,one word
Tortillas,Tortilla,,['Thing'],kg:/m/05c62s6,succeed,one word
Chifles,Chifles,,['Thing'],kg:/g/11lrwhnkkz,succeed,one word
Skippy,Skipjack tuna,Fish,['Thing'],kg:/m/06gwss,succeed,one word
Self,Self,,['Thing'],kg:/m/08by0h,succeed,one word
Lemonhead,Lemonhead,,['Thing'],kg:/m/08v8z7,succeed,one word
Daniele,Daveed Diggs,American actor,"['Person', 'Thing']",kg:/m/0129wcpv,succeed,one word
Yuengling's,Yuengling's Ice Cream Corp.,Company,"['Thing', 'Corporation', 'Organization']",kg:/g/11dymfpn_8,succeed,one word
Donouts,,,,,succeed,one word
Sherbet,Sorbet,Frozen dessert,['Thing'],kg:/m/0209ts,succeed,one word
Colby,Colby Donaldson,American actor,"['Person', 'Thing']",kg:/m/05k63f,succeed,one word
Dolores,Dolores Claiborne,1995 film,"['Movie', 'Thing']",kg:/m/02qqrpy,succeed,one word
Truffles,Chocolate truffle,,['Thing'],kg:/m/0cfk35,succeed,one word
Southwest,Southwest Airlines,Airline,"['Airline', 'Organization', 'Corporation', 'Thing']",kg:/m/0gztl,succeed,one word
Part,Region,,['Thing'],kg:/m/0fg5q,succeed,one word
Chocolate,Chocolate,Food,['Thing'],kg:/m/020vl,succeed,one word
Pecans,Pecan nut,Nut,['Thing'],kg:/g/121srbg1,succeed,one word
Spaans,Spanish rice,,['Thing'],kg:/m/094_69,succeed,one word
Ditalini,Ditalini,Pasta variety,['Thing'],kg:/m/011v74qz,succeed,one word
Blueberries,Blueberry,Berry,['Thing'],kg:/m/0ftbs,succeed,one word
Peaches,Peach,Fruit,['Thing'],kg:/m/0dj6p,succeed,one word
